row_index,row_label,x_mm,y_mm,z_mm,rdk_raw_count,rdk_filtered_count,six_raw_count,six_filtered_count,reach_mm,reach_excess_mm
391,391,1087.703016347919,-371.0626100369551,991.5711901061987,16,6,16,6,1115.8427167312211,-574.1572832687789
392,392,1093.132366187438,-381.0625145656969,989.234351752159,18,6,18,6,1120.2564371887827,-569.7435628112173
393,393,1097.1511317768761,-395.3198023828533,987.7653430989426,18,6,18,6,1127.1111010940847,-562.8888989059153
394,394,1101.5003377238415,-402.42560291765665,987.1799856837079,18,6,18,6,1133.6548343874767,-556.3451656125233
395,395,1107.592671699998,-405.348643810912,986.6672358652861,18,6,18,6,1141.034965358678,-548.9650346413221
396,396,1114.7789488748958,-406.84058682241147,986.2642281053936,18,6,18,6,1149.7337787535987,-540.2662212464013
397,397,1122.087598374389,-407.5670622834173,986.1051467671225,18,6,18,6,1159.0558309739934,-530.9441690260066
398,398,1127.8250912645376,-418.1838323332984,986.7837760554668,18,6,18,6,1173.5081933615604,-516.4918066384396
399,399,1130.9190157862115,-429.96263784140115,988.4428764310711,18,6,18,6,1187.022389456742,-502.9776105432579
400,400,1133.7559134584935,-437.36557995990404,990.001941006515,18,6,18,6,1197.9618266024129,-492.0381733975871
401,401,1138.2001435362365,-443.4289146609756,991.8061002783222,16,6,16,6,1211.0583366654928,-478.9416633345072
402,402,1143.835414081037,-444.2579179042509,992.8015542264097,16,6,16,6,1221.9336708416515,-468.0663291583485
403,403,1149.4850414747361,-445.3595047861453,994.0473826977,16,6,16,6,1233.6227020127328,-456.3772979872672
404,404,1153.6572175082492,-452.2642481037333,996.6562044663059,16,6,16,6,1249.147878241376,-440.852121758624
405,405,1155.200834289213,-459.8792847126317,999.576702344785,16,6,16,6,1261.5098297074912,-428.49017029250876
406,406,1156.23643683436,-467.6944870444392,1002.8466920830853,16,6,16,6,1273.8690856531582,-416.1309143468418
407,407,1158.1901477313138,-474.3098590344592,1006.328779157745,22,6,22,6,1287.2713256291129,-402.7286743708871
408,408,1161.3435357881506,-474.33154364383444,1007.6531836920219,22,6,22,6,1295.09898518508,-394.90101481492
409,409,1164.4818629043518,-475.1370205621506,1009.3549081994237,22,6,22,6,1304.114784319294,-385.8852156807061
410,410,1166.5999491297584,-477.4710234432398,1011.5314394958586,22,6,22,6,1313.2768353668691,-376.72316463313086
