source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
0,0,True,,1037.6010964515604,-403.86383390232265,1092.6108839038156,-0.201812918553196,-0.26999847564874563,0.9414735094798977,0.19475070453164292,0.930995071633983,0.30873992239045417,-0.9598665058170693,0.24566033408059326,-0.13530443921003305
1,1,True,,1036.0114636413866,-402.05389765503895,1093.9431911938732,-0.21565392602140301,-0.26442127151179357,0.9399865825444753,0.19181751924779958,0.9324098375774158,0.3062971336765613,-0.9574442143024184,0.24636007379635116,-0.15035720979680733
2,2,True,,1034.301558284453,-400.27862139366437,1095.4217906680294,-0.23073029070440845,-0.2584227737434247,0.9380731330563806,0.1884827907117068,0.9339551240117909,0.30364792760308346,-0.9545877490084326,0.24687141661779147,-0.1667834916894917
3,3,True,,1032.6892808195446,-398.632569454698,1096.8534427502673,-0.24517381882842373,-0.2526986900197683,0.935966436697054,0.18399409670501587,0.9357574778385146,0.3008390184916299,-0.9518592180248047,0.24597015008247458,-0.18292816713019464
4,4,True,,1031.4339533319323,-396.9534018529196,1097.998990095908,-0.25650492969770505,-0.24800929285802997,0.9341823225135634,0.17990380199549877,0.9373784852218516,0.2982552555626663,-0.9496524854220831,0.24456689493724806,-0.19582438773659766
5,5,True,,1030.3259767193993,-395.034284329843,1099.0338054965277,-0.266781822502849,-0.2447961812188792,0.932149284633482,0.1787909660175243,0.9378434567647493,0.2974616632005986,-0.9470275865319758,0.24601723570554881,-0.20643224090054735
6,6,True,,1029.25628465542,-393.1397646553312,1100.0522720095548,-0.27673871356917396,-0.24128297305385693,0.9301603148524293,0.1772028187806243,0.9385501880028381,0.29618019112702104,-0.9444653754523138,0.24679155478688736,-0.21697714869909895
7,7,True,,1028.128277283676,-391.2953246200957,1101.143562245409,-0.2872614757136601,-0.23671431859777517,0.9281417865507412,0.17454054136214187,0.9398231736294378,0.293714149693375,-0.9418155042214057,0.2463711299642936,-0.22865874645046147
8,8,True,,1026.856718162207,-389.5256893832181,1102.396182058259,-0.2992415178720681,-0.23128545381199936,0.925722179077826,0.17081725641338677,0.9415203317712124,0.2904495305088814,-0.9387630046465529,0.24504388120580328,-0.2422344265181399
9,9,True,,1025.547379517175,-387.8822682570734,1103.7010897542136,-0.3117323435474897,-0.22508545074637887,0.9231248484623785,0.16539181537960987,0.9438510820815657,0.2859907030987105,-0.9356647334338443,0.24182984661897539,-0.25700161846263914
